,player_mlb_id,playerID_LAHMAN,birthYear,birthMonth,birthDay,birthCountry,weight,height,bats,throws,debut,birthDate,year,years_after_debut,total_pa,total_bf,base_ended_inn,field_p,field_c,field_1b,field_2b,field_3b,field_ss,field_lf,field_cf,field_rf,batter_strikeout,pitcher_strikeout,batter_caught_stealing_3b,pitcher_caught_stealing_3b,batter_field_out,pitcher_field_out,batter_walk,pitcher_walk,batter_force_out,pitcher_force_out,batter_sac_fly,pitcher_sac_fly,batter_single,pitcher_single,batter_hit_by_pitch,pitcher_hit_by_pitch,batter_double,pitcher_double,batter_grounded_into_double_play,pitcher_grounded_into_double_play,batter_sac_bunt,pitcher_sac_bunt,batter_home_run,pitcher_home_run,batter_fielders_choice,pitcher_fielders_choice,batter_field_error,pitcher_field_error,batter_other_out,pitcher_other_out,batter_caught_stealing_2b,pitcher_caught_stealing_2b,batter_triple,pitcher_triple,batter_strikeout_double_play,pitcher_strikeout_double_play,batter_fielders_choice_out,pitcher_fielders_choice_out,batter_double_play,pitcher_double_play,batter_sac_fly_double_play,pitcher_sac_fly_double_play,batter_catcher_interf,pitcher_catcher_interf,batter_pickoff_caught_stealing_2b,pitcher_pickoff_caught_stealing_2b,batter_pickoff_2b,pitcher_pickoff_2b,batter_pickoff_caught_stealing_3b,pitcher_pickoff_caught_stealing_3b,batter_triple_play,pitcher_triple_play,batter_pickoff_1b,pitcher_pickoff_1b,batter_sac_bunt_double_play,pitcher_sac_bunt_double_play,batter_wild_pitch,pitcher_wild_pitch,batter_game_advisory,pitcher_game_advisory,batter_caught_stealing_home,pitcher_caught_stealing_home,batter_pickoff_3b,pitcher_pickoff_3b,batter_stolen_base_2b,pitcher_stolen_base_2b,batter_passed_ball,pitcher_passed_ball,batter_pickoff_caught_stealing_home,pitcher_pickoff_caught_stealing_home,batter_pickoff_error_3b,pitcher_pickoff_error_3b,batter_stolen_base_3b,pitcher_stolen_base_3b,batter_line_drive,pitcher_line_drive,batter_fly_ball,pitcher_fly_ball,batter_ground_ball,pitcher_ground_ball,batter_popup,pitcher_popup,hits,elig_pa,avg,tb,slg,obp,ops,woba,babip,k_rate,bb_rate,hr_rate,iso,xbh,rc,pa_per_k,pa_per_bb,positions_played,pitcher_hits_allowed,era_proxy,whip_proxy,baa,gb_rate,fb_rate,k_bb_ratio,avg_bf_per_outing,total_runs,earned_runs,outs_recorded,inherited_runners,innings_pitched,ERA
0,0629cd765e77d52b8a43cb56621c82d949e50323,146ae8ecba2a3af909b0814df68b5d49583f5ec5,1985,12,17,D.R.,235,74,L,L,7/28/2010,12/17/1985,2021,11,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0.0,0.0,0.0,,0,,,,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0
1,33438ca2fdf93ff73b2e1bcc5da3058a04cf1661,543bb62c4bdd4911df4bd1a2313a975300d04ee6,1995,9,20,USA,220,74,R,R,6/5/2021,9/20/1995,2021,0,3,82,0,82,0,0,0,0,0,0,0,0,1,11,0,0,0,34,0,11,0,4,0,0,1,9,0,0,0,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,1,23,0,5,1,3,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2966666666666667,0.3333333333333333,0.13414634146341464,0.13414634146341464,0.08536585365853659,0.0,0,0.3333333333333333,3.0,inf,1,20,0.08536585365853659,0.3780487804878049,0.24390243902439024,0.4634146341463415,0.04878048780487805,1.0,7.341463414634147,0.0,14.0,51.0,233.0,17.0,7.411764705882353
2,f79cf1f3d100e5f34d86ce2cd4c8c35ca3daee77,e195c4bc19cb6a08203e3c9e361677b73dbfdc03,2000,10,3,USA,185,74,L,R,4/8/2022,10/3/2000,2021,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,0.0,,0.0,0.0,0.0
3,3d65b1ac983ce90ff1f21f56b627883affc7dad1,0029980d1ad27d254bc1f60e31a32fcdd150ea37,1997,4,22,D.R.,225,73,R,R,7/31/2019,4/22/1997,2021,2,0,161,0,161,0,0,0,0,0,0,0,0,0,36,0,0,0,55,0,18,0,3,0,2,0,22,0,3,0,9,0,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,50,0,8,0,0,,0,,,,,,0.2236024844720497,0.11180124223602485,0.024844720496894408,,0,,,,1,35,0.024844720496894408,0.32919254658385094,0.21739130434782608,0.36024844720496896,0.06832298136645963,2.0,3.453416149068323,,30.0,99.0,507.0,33.0,8.181818181818182
4,80f3a94c7bf1ed6397017744dbb75ff931902e2d,d851612368c1e9612c0c2a444018af96a59bf0b9,1987,1,29,Cuba,235,75,R,R,3/31/2014,1/29/1987,2021,7,657,0,0,0,0,3359,0,1,0,0,0,0,114,0,0,0,161,0,47,0,16,0,9,0,65,0,17,0,23,0,22,0,0,0,19,0,4,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,80,0,163,0,17,0,108,601,0.17970049916805325,190,0.3161397670549085,0.2617960426179604,0.5779358096728688,0.26369863013698636,0.1480865224625624,,,,0.13643926788685523,43,49.001663893510816,5.271929824561403,12.787234042553191,2,0,,,,,,,,90.0,0.0,,0.0,0.0,0.0
5,3304ddb1ae3c28e484f383e6609fd35f1778ddf7,c8bc5aabe2cccc7fb3b5e9d74cd9ee9ee67be704,1994,3,6,D.R.,240,79,R,R,6/21/2021,3/6/1994,2021,0,0,44,0,44,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,4,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,13,0,2,0,0,,0,,,,,,0.20454545454545456,0.09090909090909091,0.06818181818181818,,0,,,,1,9,0.06818181818181818,0.29545454545454547,0.20454545454545456,0.4772727272727273,0.022727272727272728,2.25,2.9318181818181817,,4.0,31.0,99.0,10.333333333333334,3.4838709677419355
6,b4246bd7233f08e749626eb0b7647d295f2e37b7,330040146cac722cbbb3b1e86382e36e850da06e,1997,12,18,Venezuela,205,72,R,R,4/25/2018,12/18/1997,2021,3,358,0,0,0,0,0,0,0,0,0,31,1552,71,0,0,0,91,0,32,0,5,0,3,0,30,0,8,0,16,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,49,0,53,0,16,0,65,323,0.20123839009287925,137,0.4241486068111455,0.29329608938547486,0.7174446961966203,0.31921787709497207,0.14551083591331268,,,,0.22291021671826627,35,41.142414860681114,4.549295774647887,10.09375,2,0,,,,,,,,36.0,0.0,,0.0,0.0,0.0
7,a70005cbd23e1b20e856625d4ad363fa8d61788b,d5c5366743bd68d9d3c9f2da1d5ba337cd6ad729,1991,7,26,D.R.,217,71,B,R,7/29/2014,7/26/1991,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,0.0,,0.0,0.0,0.0
8,81272c934b63edda7b2c6ca9f268f5a594ce5131,9c4ebd617a2865a01c7ee911f9a429715209d41c,1995,9,2,D.R.,210,72,R,R,5/22/2018,9/2/1995,2021,3,554,0,1,0,0,0,0,0,3107,0,0,0,104,0,0,0,126,0,38,0,9,0,1,0,53,0,0,0,24,0,8,0,0,0,17,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,79,0,106,0,12,0,95,515,0.18446601941747573,172,0.3339805825242718,0.24007220216606498,0.5740527846903368,0.25485559566787,0.15145631067961166,,,,0.1495145631067961,42,44.41941747572815,4.951923076923077,13.552631578947368,1,0,,,,,,,,58.0,0.0,,0.0,0.0,0.0
9,45be69e7dbc2d4b228aeb07ec08590cfdc6ff091,291aecd3e6d853b1682916a6f5102574082df536,1991,8,4,USA,229,75,R,R,5/5/2018,8/4/1991,2021,3,0,50,0,50,0,0,0,0,0,0,0,0,0,18,0,0,0,12,0,6,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,4,0,0,,0,,,,,,0.36,0.12,0.02,,0,,,,1,10,0.02,0.32,0.2,0.24,0.08,3.0,2.76,,7.0,31.0,184.0,10.333333333333334,6.096774193548387
